Time [s],Data [Gb]
0.0,4.580499795873198
1.0,8.776695471872081
2.0,8.477400678164427
3.0,8.013738939193598
4.0,7.224692338858443
5.0,5.684225816060239
6.0,1.9590444547080565
7.0,2.726615489812534
8.0,4.213501895669662
9.0,7.764221540632031
10.0,6.764480476757267
11.0,4.670763159700292
12.0,9.033968858502984
13.0,8.847325625234578
14.0,8.581593982386407
15.0,8.179218856225916
16.0,7.5161700615212625
17.0,6.282287828864605
18.0,3.5180110713829533
19.0,5.9932914510575594
20.0,2.782548771823872
21.0,4.331064305339581
22.0,8.082687908736904
23.0,7.347470777676173
24.0,5.940288522619803
25.0,2.644037066705303
26.0,4.04222346872762
27.0,7.31013758295409
28.0,5.863065618426878
29.0,2.4402204029385204
30.0,3.6311555259220074
31.0,6.268213616608794
32.0,3.482967694355988
33.0,5.909180486341482
34.0,2.5622196276756193
35.0,3.8752135117648567
36.0,6.87866946411784
37.0,4.930128601271756
38.0,9.791362206287316
39.0,9.782656260494257
40.0,9.773208600273788
41.0,9.762921732475833
42.0,9.751680511489381
43.0,9.739347997814546
44.0,9.725760104565888
45.0,9.710718600516346
46.0,9.693981854898903
47.0,9.675252433872679
48.0,9.654160237531555
49.0,9.630239209270709
50.0,9.60289460079856
51.0,9.571356061183572
52.0,9.53460893592676
53.0,9.491291167422917
54.0,9.439534232154529
55.0,9.376709856769205
56.0,9.299011736239471
57.0,9.200734827053472
58.0,9.072969863716423
59.0,8.901092889000832
60.0,8.659573521279926
61.0,8.300224892309146
62.0,7.722377808964053
63.0,6.684865239944174
64.0,4.486841544478095
65.0,8.51319095352901
66.0,8.071070725395415
67.0,7.326917096110103
68.0,5.897842653896413
69.0,2.5323036754580897
70.0,3.8148160564057996
71.0,6.7253803652481
72.0,4.5807536147875645
73.0,8.777414350665433
74.0,8.478471216673668
75.0,8.015461248975567
76.0,7.227782438112044
77.0,5.690744396024043
78.0,1.976807623944406
79.0,2.7583613003613516
80.0,4.280072713027585
81.0,7.943877198788247
82.0,7.098349004055674
83.0,5.414433303602735
84.0,1.2089489181811892
85.0,1.5012604155354825
86.0,1.9520169825862366
87.0,2.7140910426472518
88.0,4.1873490802028615
89.0,7.694127544098011
90.0,6.630717987520516
91.0,4.360305731596955
92.0,8.162758946196407
93.0,7.4876680082401395
94.0,6.225305600876125
95.0,3.375642039520695
96.0,5.654633875316584
